level,place,active_time,study_place_condition,movement_effect,light_air,phone_usage,phone_effect,biggest_distraction,stress_effect,sleep_effect,after_long_study,liked_subject_focus,not_understanding_action,goal_effect,satisfaction,comparison_classroom,productivity,main_problem,improvement,target
3,0,3,0,2,0,2,2,2,1,0,2,1,1,0,0,2,2,3,3,0
3,1,3,1,2,0,1,1,0,2,0,0,0,1,1,2,1,1,11,6,1
3,0,3,2,2,0,1,2,3,2,2,2,0,1,0,0,1,2,33,11,0
3,1,3,0,2,0,2,2,0,2,0,0,1,1,0,1,1,1,4,0,1
3,0,2,1,0,1,1,1,3,2,0,2,1,1,2,0,0,2,23,13,0
3,0,2,1,2,0,1,1,3,2,0,0,1,0,0,1,1,1,17,4,1
3,0,3,0,1,1,0,2,0,2,0,2,3,1,0,0,2,2,39,10,0
3,0,1,1,2,1,2,1,2,2,2,0,1,1,0,2,1,0,39,12,0
3,1,2,2,1,0,2,1,3,0,1,2,0,1,2,1,2,2,24,7,0
3,0,0,0,2,0,2,2,2,1,0,2,1,2,0,1,2,1,8,2,1
3,0,2,0,1,0,2,2,2,2,0,2,0,1,0,0,1,1,4,12,1
3,3,3,0,1,1,3,1,2,2,2,2,2,2,1,1,2,0,4,11,0
3,0,3,2,2,0,2,2,2,2,0,2,1,1,0,1,2,2,5,15,0
3,1,1,2,2,0,2,2,1,1,0,2,0,2,0,1,1,1,39,9,1
3,0,2,1,1,0,2,2,1,0,1,2,1,1,0,1,2,1,36,2,1
3,1,2,2,2,0,2,1,2,1,0,2,1,1,0,1,1,1,11,3,1
3,1,3,0,2,1,2,2,3,2,2,2,1,0,0,0,1,1,34,9,1
3,0,3,0,2,0,2,1,0,1,0,2,1,1,0,1,1,1,34,12,1
5,3,2,2,2,0,2,0,3,0,1,1,0,1,0,1,1,1,8,14,1
3,0,2,2,2,0,2,2,3,0,0,2,1,1,0,1,1,1,19,6,1
3,0,3,1,1,0,2,0,1,1,1,1,3,0,0,1,1,1,2,10,1
3,1,2,0,2,1,2,2,2,1,0,2,3,1,2,0,2,2,37,15,0
2,3,3,3,0,2,3,1,1,2,2,0,0,0,1,2,0,0,16,8,0
3,1,2,1,2,0,3,1,3,2,0,2,0,1,0,1,1,1,22,6,1
3,0,2,2,2,1,2,2,2,2,0,1,1,1,0,1,1,1,18,7,1
3,0,1,2,2,0,2,2,2,1,0,2,1,1,2,0,1,1,8,2,1
3,1,0,0,2,2,2,2,2,1,0,2,3,1,2,1,1,0,30,4,0
3,0,2,0,2,1,2,2,0,1,0,1,3,1,2,0,2,2,26,0,0
3,0,3,2,1,0,2,2,0,2,2,0,1,1,0,1,1,1,31,6,1
3,1,3,1,1,1,2,2,2,1,0,2,3,1,0,0,2,2,5,12,0
3,1,2,0,2,0,2,1,0,2,0,2,0,1,0,1,2,2,8,1,0
3,1,2,0,2,1,1,2,3,2,2,1,1,2,0,1,1,1,8,10,1
3,1,2,1,2,1,1,2,3,1,0,2,1,2,2,0,1,1,29,10,1
3,0,3,2,2,0,2,1,0,2,0,2,3,2,0,1,2,2,11,6,0
3,0,2,0,2,2,1,1,3,2,0,2,3,1,0,1,1,2,25,4,0
3,1,1,0,2,0,2,1,3,0,0,2,3,1,0,1,0,1,4,9,1
